,campany_name,rating,headquarter,headquarter.1,num_of_locations,pub_or_pri,how long since founded,employees,reviews,salaries,jobs,interviews,Country,continent,latitude,longitude
4101,Garments India ,4.6,Jaipur + 21 more,Jaipur,21,Private,44,501-1k Employees (Global),63000,812000,0,4,India,Asia,20.593684,78.96288
4102,China Steel Corporation ,4.3,Kaohsiung + 3 more,Kaohsiung,3,,51,51-200 Employees (India),63000,255000,0,1,Taiwan,Asia,23.69781,120.960515
4103,Rotana Hotels ,4.4,Abu Dhabi + 10 more,Abu,10,,30,10k-50k Employees (Global),63000,124000,0,2,India,Asia,20.593684,78.96288
4104,The Digital Group Infotech ,3.7,"Princeton,New Jersey",Princeton,#VALUE!,Private,23,201-500 Employees (India),63000,463000,75,5,United States of America,Americas,,
4105,Signet Industries ,3.6,"Indore,Madhya Pradesh + 15 more",Indore,16,Private,37,501-1k Employees (India),63000,343000,0,3,India,Asia,20.593684,78.96288
4106,Supreme Group ,3.3,Dubai + 18 more,Dubai,18,Private,65,1 Lakh+ Employees (India),63000,199000,0,3,United Arab Emirates,Asia,23.424076,53.847818
4107,Viva Composite Panel ,3.9,"Mumbai,Maharashtra + 20 more",Mumbai,21,Private,17,51-200 Employees (India),63000,247000,11,3,India,Asia,20.593684,78.96288
4108,ANSR Source ,3.5,"Dallas,Texas",Dallas,#VALUE!,Private,19,201-500 Employees (India),63000,373000,11,5,United States of America,Americas,,
4109,Astec LifeSciences ,3.9,"Mumbai,Maharashtra + 2 more",Mumbai,3,Public,28,201-500 Employees (India),63000,378000,0,9,India,Asia,20.593684,78.96288
4110,Sterling Softwares ,4.2,"Chennai,Tamil Nadu",Chennai,#VALUE!,Private,26,1-10 Employees (India),63000,856000,6,3,India,Asia,20.593684,78.96288
4111,Fertilisers and Chemicals Travancore ,4.3,Kochi + 2 more,Kochi,2,,79,501-1k Employees (India),63000,212000,0,1,India,Asia,20.593684,78.96288
4112,Paayas Milk Producer Company ,4.1,"Jaipur,Rajasthan + 3 more",Jaipur,4,Private,10,11-50 Employees (India),63000,172000,1,2,India,Asia,20.593684,78.96288
4113,On Demand Agility Software ,3.7,King Of Prussia + 3 more,King,3,Private,16,201-500 Employees (India),63000,559000,151,6,United States of America,Americas,,
4114,Golcha Associated Group ,4.3,"Jaipur,Rajasthan + 8 more",Jaipur,9,Private,67,1k-5k Employees (India),63000,263000,0,2,India,Asia,20.593684,78.96288
4115,Vitech Systems Asia ,3.9,"New York,NY + 1 more",New York,2,Private,19,201-500 Employees (India),63000,855000,5,3,United States of America,Americas,,
4116,Unison Pharmaceuticals ,4.3,Ahmedabad + 2 more,Ahmedabad,2,,41,501-1k Employees (India),63000,580000,1,2,India,Asia,20.593684,78.96288
4117,Dewar's Garage ,3.3,Kolkata,Kolkata,1,,27,201-500 Employees (India),63000,248000,0,2,India,Asia,20.593684,78.96288
4118,Rivulis Irrigation ,4.2,"Mumbai,Maharashtra + 20 more",Mumbai,21,,56,501-1k Employees (India),63000,312000,0,1,India,Asia,20.593684,78.96288
4119,Emmbi Industries ,3.6,"Mumbai,Maharashtra + 4 more",Mumbai,5,Public,28,201-500 Employees (India),63000,391000,1,2,India,Asia,20.593684,78.96288
4120,Shiksha Financial Services India ,4.2,"Chennai,Tamil Nadu + 15 more",Chennai,16,Private,8,51-200 Employees (India),63000,308000,10,3,India,Asia,20.593684,78.96288
4121,Press Fit Pipe And Profile  ,4.1,"Bhiwandi,Maharashtra + 9 more",Bhiwandi,10,Partnership,43,501-1k Employees (India),63000,160000,4,1,India,Asia,20.593684,78.96288
4122,iServices ,3.3,"Bangalore,Karnataka + 4 more",Bangalore,5,Private,11,11-50 Employees (India),63000,314000,0,1,India,Asia,20.593684,78.96288
4123,Mouser Electronics ,4.3,"Mansfield,Texas + 1 more",Mansfield,2,,58,201-500 Employees (India),63000,517000,7,6,United Kingdom,Europe,55.378051,-3.435973
4124,Siemens Industry Software (India) ,4.3,Plano + 5 more,Plano,5,Private,24,10k-50k Employees (India),63000,838000,0,2,United States of America,Americas,,
4125,Nexdigm ,3.7,"Mumbai,Maharashtra + 2 more",Mumbai,3,Private,24,501-1k Employees (India),63000,644000,25,8,India,Asia,20.593684,78.96288
4126,InMobi ,4.2,"San Francisco,California + 1 more",San Francisco,2,Private,15,501-1k Employees (India),81000,863000,25,12,United States of America,Americas,,
4127,Vakilsearch ,3.6,"Chennai,Tamil Nadu + 1 more",Chennai,2,Private,10,51-200 Employees (India),62000,378000,110,1,India,Asia,20.593684,78.96288
4128,Senvion ,4.1,"Hamburg,Hamburg + 8 more",Hamburg,9,Private,5,51-200 Employees (India),62000,485000,4,2,Germany,Europe,51.165691,10.451526
4129,Qualitas Global QA Labs ,3.4,"Pune,Maharashtra",Pune,#VALUE!,LLP,8,201-500 Employees (India),62000,242000,15,0,India,Asia,20.593684,78.96288
4130,Sarthee Consultancy ,4.2,Ahmedabad + 13 more,Ahmedabad,13,Private,19,11-50 Employees (India),62000,66000,2,1,India,Asia,20.593684,78.96288
4131,Just Buy Live Enterprise ,4.0,"Mumbai,Maharashtra + 8 more",Mumbai,9,,7,51-200 Employees (India),62000,64000,0,0,India,Asia,20.593684,78.96288
4132,ZTT ,3.7,Nantong + 13 more,Nantong,13,Private,30,51-200 Employees (India),62000,332000,0,1,China,Asia,35.86166,104.195397
4133,PETROJET ,3.7,Cairo + 10 more,Cairo,10,Private,47,10k-50k Employees (Global),62000,125000,0,1,Egypt,Africa,26.820553,30.802498
4134,Avacend Solutions ,3.9,"Chennai,Tamil Nadu + 13 more",Chennai,14,Private,19,501-1k Employees (India),62000,358000,0,3,India,Asia,20.593684,78.96288
4135,SQS Infosystems ,4.0,Cologne + 1 more,Cologne,1,Private,40,1k-5k Employees (India),62000,245000,0,0,Germany,Europe,51.165691,10.451526
4136,ALEC ,4.2,Dubai + 7 more,Dubai,7,Private,23,10k-50k Employees (India),62000,116000,0,3,United Arab Emirates,Asia,23.424076,53.847818
4137,Be Well Hospitals ,3.7,"Chennai,Tamil Nadu + 4 more",Chennai,5,Private,11,501-1k Employees (India),62000,242000,0,2,India,Asia,20.593684,78.96288
4138,ITM ,3.1,"Munich,Bavaria + 22 more",Munich,23,Private,31,5k-10k Employees (India),62000,235000,0,2,Germany,Europe,51.165691,10.451526
4139,Isagro (Asia) Agrochemicals ,3.7,"Milan,Milan + 15 more",Milan,16,Private,29,201-500 Employees (India),62000,259000,0,1,Italy,Europe,41.87194,12.56738
4140,SSP India ,4.0,Halifax + 7 more,Halifax,7,Private,20,51-200 Employees (India),62000,449000,5,1,Canada,Americas,56.130366,-106.346771
4141,Asmacs ,4.1,Mumbai + 13 more,Mumbai,13,Private,38,51-200 Employees (India),62000,137000,0,2,India,Asia,20.593684,78.96288
4142,Rathi Transpower ,4.0,Pune + 2 more,Pune,2,,39,51-200 Employees (India),62000,368000,0,1,India,Asia,20.593684,78.96288
4143,Rohilkhand Medical College And Hospital ,4.0,Bareilly + 4 more,Bareilly,4,Private,16,201-500 Employees (India),62000,185000,5,0,India,Asia,20.593684,78.96288
4144,Indutch Composites Technology ,3.9,Vadodara + 5 more,Vadodara,5,Private,12,51-200 Employees (India),62000,494000,0,1,India,Asia,20.593684,78.96288
4145, ROI NET Solution ,4.6,"Gurgaon,Haryana + 14 more",Gurgaon,15,Private,10,51-200 Employees (India),62000,148000,4,3,India,Asia,20.593684,78.96288
4146,Fabtech Technologies International ,3.9,Mumbai + 3 more,Mumbai,3,Private,23,201-500 Employees (India),62000,347000,0,3,India,Asia,20.593684,78.96288
4147,TransPerfect ,4.4,"New York,New York + 1 more",New York,2,,30,501-1k Employees (India),62000,546000,30,4,United States of America,Americas,,
4148,Royal HaskoningDHV ,4.4,Amersfoort + 16 more,Amersfoort,16,Private,141,201-500 Employees (India),62000,195000,0,0,Netherlands,Europe,52.132633,5.291266
4149,Ace Pipeline Contracts ,4.2,Mumbai + 11 more,Mumbai,11,,33,51-200 Employees (India),62000,246000,0,2,India,Asia,20.593684,78.96288
4150,GreenPoint Global ,3.0,Rye + 1 more,Rye,1,Private,21,201-500 Employees (India),62000,325000,7,4,United States of America,Americas,,
4151,An Pharmaceuticals ,3.1,"New Delhi,Delhi + 11 more",New Delhi,12,Private,21,51-200 Employees (India),62000,154000,9,2,India,Asia,20.593684,78.96288
4152,Kintetsu World Express ,4.1,Tokyo + 17 more,Tokyo,17,Private,25,201-500 Employees (India),62000,340000,0,2,Japan,Asia,36.204824,138.252924
4153,JSM Corporation ,3.8,"Mumbai,Maharashtra + 10 more",Mumbai,11,Private,18,201-500 Employees (India),62000,211000,0,1,India,Asia,20.593684,78.96288
4154,DiacriTech ,3.2,"Chennai,Tamil Nadu + 1 more",Chennai,2,Private,25,201-500 Employees (India),62000,374000,2,0,India,Asia,20.593684,78.96288
4155,NRP Projects ,4.4,Chennai + 11 more,Chennai,11,Private,58,51-200 Employees (India),62000,362000,0,1,India,Asia,20.593684,78.96288
4156,Telligent (A Verint Company) ,3.3,"Frisco,Texas + 1 more",Frisco,2,Private,18,1-10 Employees (India),62000,513000,1,3,United States of America,Americas,,
4157,SE2 DIGITAL SERVICE LLP ,3.5,"Topeka,Kansas",Topeka,#VALUE!,LLP,3,51-200 Employees (India),62000,428000,18,1,United States of America,Americas,,
4158,Veoneer India  ,4.2,Stockholm + 2 more,Stockholm,2,Private,4,501-1k Employees (India),62000,897000,1,1,Sweden,Europe,60.128161,18.643501
4159,West Coast Pharmaceuticals ,3.2,Ahmedabad + 2 more,Ahmedabad,2,Private,57,51-200 Employees (India),62000,330000,0,7,India,Asia,20.593684,78.96288
4160,Careers360 ,3.4,"Delhi,NCT + 2 more",Delhi,3,Private,14,201-500 Employees (India),63000,565000,0,9,India,Asia,20.593684,78.96288
4161,SRV Media ,4.1,Pune + 4 more,Pune,4,Private,11,201-500 Employees (Global),61000,185000,5,1,India,Asia,20.593684,78.96288
4162,Highly Electrical Appliances India ,3.4,"Ahmedabad,Gujarat + 1 more",Ahmedabad,2,Private,9,51-200 Employees (India),61000,299000,0,2,India,Asia,20.593684,78.96288
4163,Wadhokar ,3.6,Pune + 2 more,Pune,2,Private,54,51-200 Employees (India),61000,305000,0,2,India,Asia,20.593684,78.96288
4164,Selling Simplified ,4.0,"Greenwood Village,Colorado + 1 more",Greenwood Village,2,Private,10,201-500 Employees (India),61000,160000,4,0,United States of America,Americas,,
4165,Nucsoft ,3.3,Mumbai + 5 more,Mumbai,5,Private,28,201-500 Employees (India),61000,383000,16,1,India,Asia,20.593684,78.96288
4166,International Land Developers ,4.2,Gurgaon + 1 more,Gurgaon,1,,16,201-500 Employees (India),61000,106000,0,1,India,Asia,20.593684,78.96288
4167,Junglee Games ,4.1,"Delhi,NCT + 3 more",Delhi,4,Private,10,501-1k Employees (India),61000,479000,14,4,India,Asia,20.593684,78.96288
4168,Trn Energy ,3.7,Raipur + 6 more,Raipur,6,,16,1k-5k Employees (India),61000,205000,0,2,India,Asia,20.593684,78.96288
4169,VOLTECH O AND M SERVICES ,4.2,Chennai + 10 more,Chennai,10,,13,11-50 Employees (India),61000,312000,0,3,India,Asia,20.593684,78.96288
4170,Alpha Maier ,3.9,Gurgaon + 6 more,Gurgaon,6,,11,51-200 Employees (India),61000,238000,0,0,India,Asia,20.593684,78.96288
4171,Enlist Management Consultants ,3.6,Chennai + 12 more,Chennai,12,,18,201-500 Employees (India),61000,349000,2,2,India,Asia,20.593684,78.96288
4172,Hush Puppies ,4.3,"Bangalore,Karnataka + 16 more",Bangalore,17,Private,4,51-200 Employees (India),61000,135000,1,1,India,Asia,20.593684,78.96288
4173,Solarig Gensol Utilities ,4.4,"Ahmedabad,Gujarat + 9 more",Ahmedabad,10,Private,7,11-50 Employees (India),61000,141000,0,3,India,Asia,20.593684,78.96288
4174,SATTRIX Information Security ,3.1,Ahmedabad + 8 more,Ahmedabad,8,Private,9,51-200 Employees (India),61000,244000,45,2,India,Asia,20.593684,78.96288
4175,CISB ,4.0,Mumbai + 23 more,Mumbai,23,,18,1k-5k Employees (India),61000,234000,0,0,India,Asia,20.593684,78.96288
4176,ITELLIGENCE INDIA SOFTWARE SOLUTIONS ,4.1,Bielefeld + 4 more,Bielefeld,4,,34,5k-10k Employees (India),61000,609000,13,3,Germany,Europe,51.165691,10.451526
4177,RGBSI ,4.1,"Troy,Michigan + 4 more",Troy,5,,25,201-500 Employees (India),61000,528000,77,3,United States of America,Americas,,
4178,S R Enterprises ,4.3,Mumbai + 20 more,Mumbai,20,Private,23,11-50 Employees (India),61000,459000,0,3,India,Asia,20.593684,78.96288
4179,Tenpath ,3.9,"Oak Brook,Illinois",Oak Brook,#VALUE!,Private,20,501-1k Employees (India),61000,367000,2,3,United States of America,Americas,,
4180,Auraine Botanicals ,4.0,Gurgaon + 6 more,Gurgaon,6,Private,8,51-200 Employees (India),61000,159000,0,1,India,Asia,20.593684,78.96288
4181,Remsons Industries ,3.9,Mumbai + 5 more,Mumbai,5,Public,63,201-500 Employees (India),61000,375000,0,3,India,Asia,20.593684,78.96288
4182,DEVU TOOLS ,4.3,Mumbai + 1 more,Mumbai,1,Private,29,51-200 Employees (India),61000,280000,0,0,India,Asia,20.593684,78.96288
4183,SI Group ,4.3,Schenectady + 9 more,Schenectady,9,Private,116,1k-5k Employees (India),61000,351000,0,2,United States of America,Americas,,
4184,Srijan Realty ,3.4,Kolkata,Kolkata,1,,19,501-1k Employees (India),61000,375000,0,7,India,Asia,20.593684,78.96288
4185,Joister Infomedia ,3.2,Mumbai + 3 more,Mumbai,3,,20,1k-5k Employees (India),61000,178000,0,1,India,Asia,20.593684,78.96288
4186,Sara Sae India ,2.9,"Chennai,Tamil Nadu + 7 more",Chennai,8,Private,28,501-1k Employees (Global),61000,265000,3,1,India,Asia,20.593684,78.96288
4187,PP Merchandising Services ,4.2,Chennai + 17 more,Chennai,17,Private,23,201-500 Employees (India),61000,203000,0,3,India,Asia,20.593684,78.96288
4188,Forbes Facility Services ,4.2,"Mumbai,Maharashtra + 11 more",Mumbai,12,Private,16,1k-5k Employees (India),61000,344000,0,2,India,Asia,20.593684,78.96288
4189,Gokul Agro Resources ,3.9,"Ahmedabad,Gujarat + 4 more",Ahmedabad,5,Public,8,1k-5k Employees (India),61000,399000,2,3,India,Asia,20.593684,78.96288
4190,Mahatma Gandhi Medical College & Hospital ,4.2,Jaipur + 8 more,Jaipur,8,,22,501-1k Employees (India),61000,241000,0,3,India,Asia,20.593684,78.96288
4191,Sun N Sand ,4.4,Mumbai + 8 more,Mumbai,8,,60,,61000,154000,5,0,India,Asia,20.593684,78.96288
4192,AGROCEL INDUSTRIES ,4.3,Mumbai + 2 more,Mumbai,2,,37,51-200 Employees (India),61000,257000,0,5,India,Asia,20.593684,78.96288
4193,Saint-Gobain Abrasives ,4.3,Worcester + 12 more,Worcester,12,Private,137,10k-50k Employees (Global),61000,438000,0,2,United States of America,Americas,,
4194,Zebra Technologies ,4.2,"Lincolnshire,Illinois + 7 more",Lincolnshire,8,Private,53,51-200 Employees (India),61000,769000,27,3,United States of America,Americas,,
4195,Monotech Systems ,3.9,Chennai + 11 more,Chennai,11,Private,23,51-200 Employees (India),61000,362000,0,2,India,Asia,20.593684,78.96288
4196,Kirloskar Ebara Pumps ,4.2,Pune + 4 more,Pune,4,Public,34,201-500 Employees (India),61000,314000,0,2,India,Asia,20.593684,78.96288
4197,Liberty Oil Mills ,4.4,"Mumbai,Maharashtra + 7 more",Mumbai,8,Private,69,1k-5k Employees (India),61000,251000,0,2,India,Asia,20.593684,78.96288
4198,Information Services Group ,4.3,"Stamford,Connecticut + 3 more",Stamford,4,Private,16,201-500 Employees (India),61000,496000,0,0,United States of America,Americas,,
4199,Strand Life Sciences ,3.5,"Bangalore,Karnataka + 10 more",Bangalore,11,Private,22,201-500 Employees (India),61000,370000,0,2,India,Asia,20.593684,78.96288
4200,Snap-on Business Solutions ,4.0,"Richfield,Ohio + 3 more",Richfield,4,Private,26,201-500 Employees (India),61000,396000,2,5,United States of America,Americas,,
4201,NDS InfoServ ,2.0,"Dallas,Texas + 9 more",Dallas,10,Private,22,201-500 Employees (India),61000,249000,0,5,United States of America,Americas,,
4202,Skanray Technologies ,3.8,"Mysore,Karnataka + 10 more",Mysore,11,Private,15,201-500 Employees (India),61000,337000,7,1,India,Asia,20.593684,78.96288
4203,Unique Builders ,3.6,Jaipur + 10 more,Jaipur,10,Private,20,51-200 Employees (India),61000,270000,10,1,India,Asia,20.593684,78.96288
4204,Vritti Solutions ,3.7,"Pune,Maharashtra + 11 more",Pune,12,Public,17,201-500 Employees (India),61000,304000,0,1,India,Asia,20.593684,78.96288
4205,Amplifon ,3.2,"Milan,Milan + 20 more",Milan,21,Private,72,201-500 Employees (India),61000,263000,1,0,Italy,Europe,41.87194,12.56738
4206,Doosan Babcock ,4.7,Crawley + 7 more,Crawley,7,Private,141,1k-5k Employees (Global),61000,156000,0,5,United Kingdom,Europe,55.378051,-3.435973
4207,Freight Systems ,4.1,Dubai + 12 more,Dubai,12,Public,34,501-1k Employees (India),61000,394000,5,1,United Arab Emirates,Asia,23.424076,53.847818
4208,B.P. Poddar Hospital & Medical Research ,3.8,Kolkata,Kolkata,1,Public,18,201-500 Employees (India),61000,165000,0,1,India,Asia,20.593684,78.96288
4209,BPO Systems ,3.8,"Walnut Creek,California + 23 more",Walnut Creek,24,Private,22,51-200 Employees (Global),61000,1000,0,10,United States of America,Americas,,
4210,Deshpande Foundation ,4.2,"Stoneham,Massachusetts + 6 more",Stoneham,7,NGO/NPO,26,201-500 Employees (India),61000,240000,17,3,United States of America,Americas,,
4211,Hetero Biopharma ,3.6,Hyderabad,Hyderabad,1,,13,201-500 Employees (India),61000,499000,0,5,India,Asia,20.593684,78.96288
4212,Kärcher Cleaning Systems ,3.5,Winnenden + 18 more,Winnenden,18,Private,87,201-500 Employees (India),61000,255000,0,3,Germany,Europe,51.165691,10.451526
4213,Coherent Market Insights ,4.1,"Seattle,Washington",Seattle,#VALUE!,Private,6,201-500 Employees (India),61000,167000,6,0,United States of America,Americas,,
4214,Digikredit Finance ,3.7,"Mumbai,Maharashtra + 16 more",Mumbai,17,Private,8,51-200 Employees (India),61000,348000,0,1,India,Asia,20.593684,78.96288
4215, Identifyplus Delivery Services ,3.9,"Gurgaon,Haryana + 25 more",Gurgaon,26,,6,,61000,197000,0,0,India,Asia,20.593684,78.96288
4216,State Street Bank ,3.8,Boston + 8 more,Boston,8,Private,230,1 Lakh+ Employees (India),1400,946000,0,3,United States of America,Americas,,
4217,"TVS Sreechakra LTD ,Tvs Tyres ",3.7,"Chennai,Tamil Nadu + 14 more",Chennai,15,,25,1k-5k Employees (Global),290000,171000,0,2,India,Asia,20.593684,78.96288
4218,Chiripal Group ,3.7,Ahmedabad + 4 more,Ahmedabad,4,Private,50,10k-50k Employees (India),193000,185000,0,0,India,Asia,20.593684,78.96288
4219,Equifax ,3.7,"Atlanta,Georgia + 5 more",Atlanta,6,Public,12,201-500 Employees (India),67000,668000,0,3,United States of America,Americas,,
4220,Ardom Telecom ,3.8,Gurgaon + 7 more,Gurgaon,7,,13,,60000,81000,0,2,India,Asia,20.593684,78.96288
4221,Zieta Technologies ,3.6,"Atlanta,Georgia + 5 more",Atlanta,6,Private,21,201-500 Employees (India),60000,371000,0,1,United States of America,Americas,,
4222,Valued Epistemics ,3.5,"Chennai,Tamil Nadu + 1 more",Chennai,2,Private,14,11-50 Employees (India),60000,189000,8,1,India,Asia,20.593684,78.96288
4223,Systematix Infotech ,3.8,"Indore,Madhya Pradesh + 1 more",Indore,2,Private,17,51-200 Employees (India),60000,367000,15,5,India,Asia,20.593684,78.96288
4224,VAP Technology ,3.4,Kolkata,Kolkata,1,,11,501-1k Employees (India),60000,256000,10,2,India,Asia,20.593684,78.96288
4225,ASSA ABLOY ,4.2,"Stockholm,Stockholm County + 14 more",Stockholm,15,Public,17,51-200 Employees (India),60000,373000,61,4,Sweden,Europe,60.128161,18.643501
4226,Kamal Fincap ,4.0,Kota + 26 more,Kota,26,,9,51-200 Employees (India),60000,208000,0,2,India,Asia,20.593684,78.96288
4227,Machino Polymers ,3.7,Gurgaon + 6 more,Gurgaon,6,Public,27,501-1k Employees (India),60000,316000,1,2,India,Asia,20.593684,78.96288
4228,Gia India Laboratory ,3.9,Mumbai + 3 more,Mumbai,3,,91,51-200 Employees (India),60000,268000,14,3,India,Asia,20.593684,78.96288
4229,Syncom Healthcare ,3.1,Indore + 4 more,Indore,4,Public,20,51-200 Employees (India),60000,142000,0,0,India,Asia,20.593684,78.96288
4230,SPJ group ,2.8,"New Delhi,Delhi + 6 more",New Delhi,7,,60,201-500 Employees (Global),60000,139000,12,3,India,Asia,20.593684,78.96288
4231,Comed Chemicals ,3.9,Vadodara + 10 more,Vadodara,10,,36,51-200 Employees (India),60000,281000,0,2,India,Asia,20.593684,78.96288
4232,Simeio Solutions ,4.2,"Mumbai,Maharashtra + 1 more",Mumbai,2,Private,13,201-500 Employees (India),60000,594000,1,4,India,Asia,20.593684,78.96288
4233,Excell Autovista ,3.7,"Mumbai,Maharashtra + 4 more",Mumbai,5,Private,18,501-1k Employees (India),60000,308000,8,1,India,Asia,20.593684,78.96288
4234,Capstone Securities Analysis ,4.0,"Pune,Maharashtra",Pune,#VALUE!,Private,18,201-500 Employees (India),60000,143000,0,0,India,Asia,20.593684,78.96288
4235,Kuber Enterprises ,4.3,"Kochi,Kerala + 6 more",Kochi,7,,23,201-500 Employees (India),60000,212000,2,4,India,Asia,20.593684,78.96288
4236,Apex Auto ,3.8,Jamshedpur + 8 more,Jamshedpur,8,Public,28,201-500 Employees (India),60000,276000,0,2,India,Asia,20.593684,78.96288
4237,Tejora  ,3.8,Mumbai + 4 more,Mumbai,4,Private,19,51-200 Employees (India),60000,501000,39,2,India,Asia,20.593684,78.96288
4238,Windals Precision ,4.1,Mumbai + 3 more,Mumbai,3,Private,32,501-1k Employees (Global),60000,340000,0,1,India,Asia,20.593684,78.96288
4239,Pune Institute of Business Management ,3.8,Pune + 5 more,Pune,5,Private,15,201-500 Employees (India),60000,251000,1,3,India,Asia,20.593684,78.96288
4240,Thrillophilia ,3.3,"Jaipur,Rajasthan + 3 more",Jaipur,4,Private,12,201-500 Employees (India),60000,219000,19,4,India,Asia,20.593684,78.96288
4241,Lifeline Hospital India ,4.3,"Chennai,Tamil Nadu + 20 more",Chennai,21,Private,25,201-500 Employees (Global),60000,315000,0,0,India,Asia,20.593684,78.96288
4242,Reinforced Earth ,4.0,Rueil-Malmaison + 8 more,Rueil-Malmaison,8,Private,16,201-500 Employees (India),60000,203000,2,2,France,Europe,46.227638,2.213749
4243,Lotus Labs ,4.3,Bangalore + 3 more,Bangalore,3,Private,21,201-500 Employees (India),60000,145000,0,0,India,Asia,20.593684,78.96288
4244,PizzaExpress ,4.6,London + 9 more,London,9,Private,57,10k-50k Employees (Global),60000,128000,0,0,United Kingdom,Europe,55.378051,-3.435973
4245,IANT ,3.2,Vadodara + 24 more,Vadodara,24,Private,23,1 Lakh+ Employees (India),60000,197000,1,0,India,Asia,20.593684,78.96288
4246,S10 Healthcare Solutions ,3.5,Chennai + 1 more,Chennai,1,Private,9,201-500 Employees (India),60000,167000,2,2,India,Asia,20.593684,78.96288
4247,Kriya It ,3.7,"Chennai,Tamil Nadu + 4 more",Chennai,5,Private,12,1k-5k Employees (India),60000,452000,3,7,India,Asia,20.593684,78.96288
4248,Farmson Pharmaceutical ,3.6,Vadodara + 2 more,Vadodara,2,,52,501-1k Employees (India),60000,373000,0,5,India,Asia,20.593684,78.96288
4249,Concept Pharmaceuticals ,3.0,Mumbai + 10 more,Mumbai,10,,38,11-50 Employees (India),60000,289000,0,3,India,Asia,20.593684,78.96288
4250,Sanathan Textiles ,4.3,Mumbai + 4 more,Mumbai,4,,21,201-500 Employees (India),60000,326000,3,3,India,Asia,20.593684,78.96288
4251,Golden Tulip Chandigarh ,4.0,Puteaux + 14 more,Puteaux,14,Private,60,11-50 Employees (India),60000,171000,0,0,France,Europe,46.227638,2.213749
4252,LinkedIn  ,4.6,"Sunnyvale,California + 2 more",Sunnyvale,3,Private,19,1k-5k Employees (India),60000,911000,0,46,United States of America,Americas,,
4253,Element14 ,4.5,"Singapore,Singapore + 6 more",Singapore,7,Private,15,201-500 Employees (India),60000,451000,0,3,Singapore,Asia,1.352083,103.819836
4254,Awfis ,4.0,"Delhi,NCT + 10 more",Delhi,11,Private,7,501-1k Employees (India),60000,387000,7,3,India,Asia,20.593684,78.96288
4255,LGB Forge ,3.7,"Coimbatore,Tamil Nadu + 4 more",Coimbatore,5,Public,16,51-200 Employees (India),60000,362000,0,1,India,Asia,20.593684,78.96288
4256,Anchor Offshore Services ,3.2,Mumbai + 8 more,Mumbai,8,,39,201-500 Employees (India),60000,239000,0,1,India,Asia,20.593684,78.96288
4257,Surat Goods Transport ,3.9,Mumbai + 23 more,Mumbai,23,Private,59,1k-5k Employees (India),60000,228000,0,3,India,Asia,20.593684,78.96288
4258,ESDEE PAINTS ,2.8,"Mumbai,Maharashtra + 10 more",Mumbai,11,Public,59,201-500 Employees (India),60000,246000,0,1,India,Asia,20.593684,78.96288
4259,Al Ansari Trading Enterprise LLC ,3.2,Muscat + 1 more,Muscat,1,,47,501-1k Employees (India),60000,191000,0,1,Oman,Asia,21.512583,55.923255
4260,Prabha Industries ,4.3,Chennai + 9 more,Chennai,9,,52,,60000,302000,0,1,India,Asia,20.593684,78.96288
4261,Toyota Boshoku Automotive ,4.5,Kariya City + 6 more,Kariya,6,Private,103,51-200 Employees (India),60000,259000,0,1,Japan,Asia,36.204824,138.252924
4262,SMERA Ratings ,3.6,"Mumbai,Maharashtra + 14 more",Mumbai,15,Private,17,201-500 Employees (Global),60000,127000,7,1,India,Asia,20.593684,78.96288
4263,KARL STORZ ,4.0,Tuttlingen + 13 more,Tuttlingen,13,Private,77,51-200 Employees (India),60000,292000,0,2,Germany,Europe,51.165691,10.451526
4264,Acma Computers ,3.6,Mumbai + 7 more,Mumbai,7,Private,30,51-200 Employees (India),60000,390000,4,2,India,Asia,20.593684,78.96288
4265,Polyplastics ,4.2,Tokyo + 11 more,Tokyo,11,,60,1k-5k Employees (Global),60000,270000,0,0,Japan,Asia,36.204824,138.252924
4266,National Corporation for Tourism & Hotels ,4.5,Abu Dhabi + 5 more,Abu,5,Private,26,1k-5k Employees (India),60000,121000,0,0,India,Asia,20.593684,78.96288
4267,JAAC TECHNO SERVICES ,4.1,Vadodara + 8 more,Vadodara,8,,13,201-500 Employees (India),60000,183000,0,1,India,Asia,20.593684,78.96288
4268,Freelancer.com ,4.1,"Delhi,NCT + 19 more",Delhi,20,,11,10k-50k Employees (India),60000,15300,535,16,India,Asia,20.593684,78.96288
4269,Vertafore ,4.1,"Denver,Colorado",Denver,#VALUE!,Private,53,501-1k Employees (India),60000,706000,72,8,United States of America,Americas,,
4270,WovVTech ,4.7,"Mumbai,Maharashtra + 2 more",Mumbai,3,Private,6,51-200 Employees (India),60000,121000,35,2,India,Asia,20.593684,78.96288
4271,Celebal Technologies ,4.1,"Jaipur,Rajasthan + 6 more",Jaipur,7,,7,1k-5k Employees (India),60000,596000,43,14,India,Asia,20.593684,78.96288
4272,Herbalife  ,4.2,"Los Angeles,California + 21 more",Los Angeles,22,,42,1 Lakh+ Employees (India),60000,299000,5,4,United States of America,Americas,,
4273,Diversey India Hygiene ,3.4,Mumbai + 14 more,Mumbai,14,,102,1k-5k Employees (India),60000,417000,0,4,India,Asia,20.593684,78.96288
4274,Euronet Global Development Center  ,4.3,"Leawood,Kansas + 7 more",Leawood,8,,28,501-1k Employees (India),60000,445000,10,4,United States of America,Americas,,
